id,title,genre,cast,overview,tag,language,rating,link,
101,Drishyam 1,"Thriller,Crime,Drama,Mystery",Ajay Devgn,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",hindi thriller crime drama mystery ajaydevgn law unexpected crime desperate save family ,Hindi,8.2,https://www.hotstar.com/in/movies/drishyam/1000074189,
102,Drishyam 2,"Thriller,Crime,Drama,Mystery",Ajay Devgn,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,hindi thriller crime drama mystery ajaydevgn law unexpected crime desperate daughter,Hindi,8.2,https://www.primevideo.com/detail/Drishyam-2-Hindi/0HNZIYOI76383DKI61QMTROL4K,
103,Shaitaan,"Horror, Thriller, Drama",Ajay Devgn,"A family outing takes a terrifying turn when an intruder takes over the body of the teenage daughter, putting her at the mercy of increasingly sinister orders.",hindi horror thriller crime drama mystery ajaydevgn daughter family ,Hindi,6.6,https://www.netflix.com/in/title/81760372,
104,Andhadhun,"Thriller,Crime,Drama,Suspense",Ayushmann Khurrana,"Akash, a piano player pretending to be visually-impaired, unwittingly becomes entangled in a number of problems as he witnesses the murder of a former film actor.",hindi thriller crime drama mystery ayushmannkhurrana crime suspense murder eyesight,Hindi,9.2,https://www.amazon.com/Andhadhun-Tabu/dp/B07NNSW2K2,
105,Ittefaq,"Thriller, Mystery,Suspense",Sidharth Malhotra,"Dev, a police officer, investigates a double murder case that has two witnesses, Vikram and Maya, who are also the suspects. To find the truth, the officer starts interrogating them.",hindi thriller mystery suspense sidharthmalhotra investigation crime murder,Hindi,7.2,https://www.netflix.com/title/80164904,
106,Barfi,"Romance, Friendship,Suspense",Ranbir Kapoor,"Barfi forms a special bond with Jhilmil, a girl with autism. When Barfi's old flame walks back into his life, it causes misunderstandings between Jhilmil and him.",hindi romance comedy family suspense ranbirkapoor bond disabilities misunderstanding musical,Hindi,9.1,https://www.netflix.com/title/70219525,
107,Tamasha,"Romance,Comedy,Adventure,Drama",Ranbir Kapoor,"Ved and Tara fall in love while on a holiday in Corsica and decide to keep their real identities undisclosed. Tara returns to Delhi and meets a new Ved, who is trying to discover his true self.",hindi romance comedy adventure drama ranbirkapoor love holiday trueself,Hindi,7.4,https://www.netflix.com/title/80087743,
108,Taare Zameen Par,"Family,Musical,Friendship",Aamir Khan,"Ishaan is criticised by his parents for his poor academic performance and is sent away to a boarding school. Ram, an art teacher, however, realises he has dyslexia and helps him uncover his potential.",hindi family musical friendship aamirkhan disabilities trueself bond misunderstanding,Hindi,8.3,https://www.amazon.in/Taare-Zameen-Par-Aamir-Khan/dp/B006QGDDO2,
109,Paa,"Comedy, Drama, Emotional ",Amitabh Bachchan,"The 12-year-old Auro, who is raised by his gynaecologist mother Vidya, suffers from a rare genetic disorder called progeria. Auro wants to know about his father but Vidya hides it from him.",hindi comedy drama emotional amitabhbachchan disabilities trueself ,Hindi,7.1,https://www.amazon.com/Amitabh-Hindi-Bollywood-Indian-Cinema/dp/B0032M74ZM,
110,Fanaa,"Romance,Thriller,Suspense,Drama",Aamir Khan,"Against the advice of her friends, Zooni, a visually impaired Kashmiri girl, falls in love with a tourist guide, Rehan. He helps her get her eyesight back but she remains unaware of his true identity.",hindi romance thriller suspense drama aamirkhan disabilities love trueself eyesight,Hindi,7.1,https://www.primevideo.com/detail/Fanaa/0QBQ0ZOK7NULHKFXSRDWD3GHHU,
111,Blurr,"Horror, Thriller, Drama", Taapsee Pannu,"Suspicious about the circumstances surrounding her twin sister's death, a woman with progressive blindness searches for answers that eventually lead her down a dangerous path.",hindi horror thriller drama mystery eyesight disabilities  taapseepannu investigation family,Hindi,5.8,https://www.zee5.com/movies/details/blurr/0-0-1z5259649,
112,Zindagi Na Milegi Dobara ,"Romance,Comedy,Adventure,Friendship",Hrithik Roshan,"Friends Kabir, Imran and Arjun take a vacation in Spain before Kabir's marriage. The trip turns into an opportunity to mend fences, heal wounds, fall in love with life and combat their worst fears.",hindi romance comedy adventure hrithikroshan frienship love  holiday bond,Hindi,8.2,https://www.netflix.com/title/70202336,
113,Yeh Jawaani Hai Deewani,"Romance,Comedy,Adventure,Friendship",Ranbir Kapoor,"Naina, a studious girl, yearns for some fun. A chance meeting with an old classmate, Aditi, leads to a trip that changes her life forever. She meets and falls for Bunny, but he has no time for love.",hindi romance comedy adventure ranbirkapoor frienship love trueself holiday bond,Hindi,7.2,https://www.netflix.com/title/70276515,
114,Dil Dhadakne Do,"Family,Romance,Comedy",Ranveer Singh,"On the occasion of their 30th anniversary, Kamal and Neelam invite their family and friends on a cruise. However, on the journey, they learn many life lessons and change for the better.",hindi family romance comedy ranbirkapoor adventure holiday trueself drama,Hindi,7,https://www.netflix.com/title/80057585,
115,Kapoor and Sons,"Romance, Comedy, Family",Sidharth Malhotra,"Brothers Arjun and Rahul return home to visit their ailing grandfather. Amidst numerous ongoing family problems, emotions get intensified when a girl causes a rift between the two.",hindi  family romance comedy sidharthmalhotra trueself  friendship,Hindi,7.7,https://www.netflix.com/title/80102019,
